config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo,0,resultado,212,-3.0023660927477764,0.4669811320754717,0.5141509433962265,-0.04716981132075476
base+elo,0,mas_2_5,212,-1.05103756797798,0.5754716981132075,0.6556603773584906,-0.08018867924528306
base+elo,0,ambos_marcan,212,-2.133096552392524,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo,0,mas_9_5_corners,212,-1.3266836121636274,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo,0,mas_4_5_tarjetas,201,-1.2150504238160609,0.6716417910447762,0.6467661691542289,0.02487562189054726
base+elo+h2h,1,resultado,212,-2.9784469854421927,0.47641509433962265,0.5141509433962265,-0.03773584905660382
base+elo+h2h,1,mas_2_5,212,-1.2250924384430515,0.589622641509434,0.6556603773584906,-0.06603773584905659
base+elo+h2h,1,ambos_marcan,212,-2.126319123415769,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+h2h,1,mas_9_5_corners,212,-1.4510542451258002,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+h2h,1,mas_4_5_tarjetas,201,-1.2773803993479338,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+h2h_profundo,1,resultado,212,-2.7467445872031218,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+h2h_profundo,1,mas_2_5,212,-1.1835107645099994,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+h2h_profundo,1,ambos_marcan,212,-2.23715879903534,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+h2h_profundo,1,mas_9_5_corners,212,-1.3616258479892207,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+h2h_profundo,1,mas_4_5_tarjetas,201,-1.4547449104866204,0.681592039800995,0.6467661691542289,0.03482587064676612
base+elo+tabla,1,resultado,212,-2.8692975468064548,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+tabla,1,mas_2_5,212,-1.1426741971330814,0.6132075471698113,0.6556603773584906,-0.04245283018867929
base+elo+tabla,1,ambos_marcan,212,-2.0175365808650683,0.5188679245283019,0.5849056603773585,-0.06603773584905659
base+elo+tabla,1,mas_9_5_corners,212,-1.0787030063481189,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+tabla,1,mas_4_5_tarjetas,201,-1.7039638109155757,0.6567164179104478,0.6467661691542289,0.00995024875621886
base+elo+boxscore,1,resultado,212,-3.3363795660503124,0.4669811320754717,0.5141509433962265,-0.04716981132075476
base+elo+boxscore,1,mas_2_5,212,-1.4060737174262958,0.5849056603773585,0.6556603773584906,-0.07075471698113212
base+elo+boxscore,1,ambos_marcan,212,-2.492595850744157,0.5141509433962265,0.5849056603773585,-0.070754716981132
base+elo+boxscore,1,mas_9_5_corners,212,-1.595739812803433,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+boxscore,1,mas_4_5_tarjetas,201,-1.8519275273186746,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+arbitro,1,resultado,212,-2.939816347817644,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+arbitro,1,mas_2_5,212,-0.840154366588577,0.5990566037735849,0.6556603773584906,-0.05660377358490565
base+elo+arbitro,1,ambos_marcan,212,-1.6744053404328167,0.5424528301886793,0.5849056603773585,-0.04245283018867918
base+elo+arbitro,1,mas_9_5_corners,212,-1.2473610781636988,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo+arbitro,1,mas_4_5_tarjetas,201,-1.6951409064787857,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+clima,1,resultado,199,-2.737449235243401,0.47738693467336685,0.5125628140703518,-0.03517587939698491
