max_depth,min_child_weight,reg_lambda,suma_sigmas,suma_acierto_dif
2,20,5,-7.913551369558148,-0.1559185206045247
3,20,5,-7.949226967888558,-0.161151788228668
3,20,10,-8.283558306322526,-0.16612691260677742
2,20,10,-8.394402299210206,-0.17006946400075107
3,20,20,-8.402351215331139,-0.13756688256829064
2,30,5,-8.426918833711381,-0.15145968271848304
2,30,10,-8.595644807136084,-0.15617666385055856
3,30,5,-8.617978741332319,-0.151975969210551
3,30,10,-8.89109658178623,-0.17556087487092842
3,30,20,-8.932965214725584,-0.17032760724678503
2,20,20,-8.970471863490939,-0.1708438937388529
2,30,20,-9.074044422347239,-0.1805359992490379
3,50,20,-9.157166763314647,-0.18053599924903796
2,50,5,-9.248801300858572,-0.17556087487092847
2,50,20,-9.26715575295827,-0.14202572045433226
2,50,10,-9.288846220640615,-0.17110203698488702
3,50,10,-9.328415744514107,-0.17607716136299634
3,50,5,-9.381542821517241,-0.16218436121280388
