casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Bet9ja,Full Time Result,Full Time Result,home,1319161414,3.15,0.31746031746031744,0.30190464923695726,0.2934665,0.008438149236957238,-0.0755805249999999
Bet9ja,Full Time Result,Full Time Result,away,1319161414,2.32,0.4310344827586207,0.4099136401277653,0.417328,-0.007414359872234655,-0.03179904000000011
Bet9ja,Full Time Result,Full Time Result,draw,1319161414,3.3,0.30303030303030304,0.2881817106352774,0.288265,-8.328936472257187e-05,-0.04872550000000009
William Hill,Full Time Result,Full Time Result,home,1319161414,3.1,0.3225806451612903,0.28204540243063514,0.29395000000000004,-0.011904597569364905,-0.0887549999999998
William Hill,Full Time Result,Full Time Result,away,1319161414,2.05,0.48780487804878053,0.42650768172437514,0.415859,0.010648681724375164,-0.14748905000000012
William Hill,Full Time Result,Full Time Result,draw,1319161414,3.0,0.3333333333333333,0.29144691584498966,0.28812499999999996,0.003321915844989698,-0.1356250000000001
Powbet,Full Time Result,Full Time Result,home,1319161414,3.4,0.29411764705882354,0.27979274611398963,0.2936,-0.013807253886010395,-0.0017599999999999838
Powbet,Full Time Result,Full Time Result,away,1319161414,2.16,0.4629629629629629,0.4404145077720207,0.41659349999999995,0.02382100777202073,-0.10015804000000006
Powbet,Full Time Result,Full Time Result,draw,1319161414,3.4,0.29411764705882354,0.27979274611398963,0.288182,-0.008389253886010362,-0.02018120000000001
888sport,Full Time Result,Full Time Result,home,1319161414,3.1,0.3225806451612903,0.29333333333333333,0.29395000000000004,-0.0006166666666667098,-0.0887549999999998
888sport,Full Time Result,Full Time Result,away,1319161414,2.2,0.45454545454545453,0.41333333333333333,0.417328,-0.003994666666666646,-0.08187840000000002
888sport,Full Time Result,Full Time Result,draw,1319161414,3.1,0.3225806451612903,0.29333333333333333,0.28812499999999996,0.00520833333333337,-0.10681250000000009
Unibet,Full Time Result,Full Time Result,home,1319161414,3.15,0.31746031746031744,0.29547553093259465,0.2934665,0.0020090309325946354,-0.0755805249999999
Unibet,Full Time Result,Full Time Result,away,1319161414,2.25,0.4444444444444444,0.4136657433056325,0.417328,-0.003662256694367483,-0.061011999999999955
