mercado,referencia,n,modelo,sigmas
resultado,cierre football-data,568,produccion,-2.749568430031135
resultado,cierre football-data,568,produccion+mercado,-1.6703601659910583
resultado,cierre football-data,568,solo mercado,-1.2676167983286506
resultado,cosechado Highlightly,219,produccion,-2.0405688699480833
resultado,cosechado Highlightly,219,produccion+mercado,-1.698077622157374
resultado,cosechado Highlightly,219,solo mercado,-0.18156138601765043
mas_2_5,cierre football-data,568,produccion,-2.0865068519895087
mas_2_5,cierre football-data,568,produccion+mercado,-1.6177617164385156
mas_2_5,cierre football-data,568,solo mercado,-0.3530967666017932
mas_2_5,cosechado Highlightly,219,produccion,-2.5744663571611657
mas_2_5,cosechado Highlightly,219,produccion+mercado,-0.3793497768440782
mas_2_5,cosechado Highlightly,219,solo mercado,0.8420776212475569
ambos_marcan,cosechado Highlightly,219,produccion,0.4398982446179035
ambos_marcan,cosechado Highlightly,219,produccion+mercado,1.3224660930293655
ambos_marcan,cosechado Highlightly,219,solo mercado,-0.6476495976688982
mas_9_5_corners,cosechado Highlightly,219,produccion,-1.5986657749918094
mas_9_5_corners,cosechado Highlightly,219,produccion+mercado,-1.4061981572471527
mas_9_5_corners,cosechado Highlightly,219,solo mercado,-0.7061134442126894
mas_4_5_tarjetas,cosechado Highlightly,207,produccion,-2.4118007193226894
mas_4_5_tarjetas,cosechado Highlightly,207,produccion+mercado,-2.2198483318557236
mas_4_5_tarjetas,cosechado Highlightly,207,solo mercado,-2.6876120907446563
