config,mercado,n,sigmas,brier_modelo
base+elo,resultado,212,-2.9724844268812896,0.6223794221878052
base+elo,mas_2_5,212,-1.0910818541396647,0.46484965085983276
base+elo,ambos_marcan,212,-2.188901110923448,0.49918854236602783
base+elo,mas_9_5_corners,212,-1.2883779956503565,0.4929974377155304
base+elo,mas_4_5_tarjetas,201,-1.2143246589997403,0.43271175026893616
base+elo+h2h,resultado,212,-2.9858573940410995,0.6226567029953003
base+elo+h2h,mas_2_5,212,-1.2070455871190389,0.466535747051239
base+elo+h2h,ambos_marcan,212,-2.2356839648707414,0.49983707070350647
base+elo+h2h,mas_9_5_corners,212,-1.2104448244652908,0.4917043149471283
base+elo+h2h,mas_4_5_tarjetas,201,-1.2229640193757603,0.4327694773674011
base+elo+tabla,resultado,212,-2.9466619912810104,0.6212849617004395
base+elo+tabla,mas_2_5,212,-1.218371754911985,0.4662647843360901
base+elo+tabla,ambos_marcan,212,-2.2565775030652957,0.49987807869911194
base+elo+tabla,mas_9_5_corners,212,-0.944315364062819,0.4885938763618469
base+elo+tabla,mas_4_5_tarjetas,201,-1.5297841123225189,0.43650203943252563
base+elo+boxscore,resultado,212,-3.336954790400558,0.6272558569908142
base+elo+boxscore,mas_2_5,212,-1.3670890642190523,0.4692809581756592
base+elo+boxscore,ambos_marcan,212,-2.3966628172907907,0.5031329989433289
base+elo+boxscore,mas_9_5_corners,212,-1.371552135209803,0.4938599169254303
base+elo+boxscore,mas_4_5_tarjetas,201,-1.7813575260572416,0.43984052538871765
base+elo+h2h+tabla,resultado,212,-2.9499000143332887,0.6211870312690735
base+elo+h2h+tabla,mas_2_5,212,-1.30873256754063,0.46757158637046814
base+elo+h2h+tabla,ambos_marcan,212,-2.07903639554982,0.4977285861968994
base+elo+h2h+tabla,mas_9_5_corners,212,-1.0378516581675608,0.4897804260253906
base+elo+h2h+tabla,mas_4_5_tarjetas,201,-1.4012135238340093,0.4347825050354004
base+elo+h2h+boxscore,resultado,212,-3.2264463076562775,0.6257525682449341
base+elo+h2h+boxscore,mas_2_5,212,-1.296578517330153,0.46797236800193787
base+elo+h2h+boxscore,ambos_marcan,212,-2.3209865089004844,0.5016320943832397
base+elo+h2h+boxscore,mas_9_5_corners,212,-1.3640580962328928,0.4939992427825928
base+elo+h2h+boxscore,mas_4_5_tarjetas,201,-1.8051979549658668,0.44021719694137573
base+elo+tabla+boxscore,resultado,212,-3.2376942461598257,0.6251290440559387
base+elo+tabla+boxscore,mas_2_5,212,-1.5254578299391166,0.47075265645980835
base+elo+tabla+boxscore,ambos_marcan,212,-2.317284879661539,0.5016690492630005
base+elo+tabla+boxscore,mas_9_5_corners,212,-1.205908533956473,0.4919697046279907
base+elo+tabla+boxscore,mas_4_5_tarjetas,201,-2.1134340843817063,0.444513201713562
base+elo+h2h+tabla+boxscore,resultado,212,-3.28537519762162,0.6254096031188965
base+elo+h2h+tabla+boxscore,mas_2_5,212,-1.5724863186619062,0.4713878929615021
base+elo+h2h+tabla+boxscore,ambos_marcan,212,-2.374794356020227,0.5020946264266968
base+elo+h2h+tabla+boxscore,mas_9_5_corners,212,-1.375784104396431,0.494161993265152
base+elo+h2h+tabla+boxscore,mas_4_5_tarjetas,201,-2.213217648622698,0.4461897015571594
