match_id,l_faltas_recibidas,v_faltas_recibidas,l_segundas_amarillas,v_segundas_amarillas,l_duelos_totales,v_duelos_totales,l_duelos_ganados_pct,v_duelos_ganados_pct,l_falta_max_jugador,v_falta_max_jugador,l_jugadores_2mas_faltas,v_jugadores_2mas_faltas,l_xg_evitado_portero,v_xg_evitado_portero
1325357545,5,8,3,0,69,69,0.4927536231884058,0.5072463768115942,2,3,2,1,0.12,0.49
1325358396,11,9,2,3,101,101,0.5643564356435643,0.43564356435643564,3,2,2,3,0.99,0.87
1325359247,14,14,0,1,96,96,0.40625,0.59375,5,4,3,3,-0.19,-2.77
1325354141,11,10,1,2,91,91,0.43956043956043955,0.5604395604395604,3,4,3,3,0.01,0.84
1325360949,10,12,2,0,106,106,0.49056603773584906,0.5094339622641509,3,5,3,1,-0.77,0.08
1325356694,11,6,2,1,87,87,0.5287356321839081,0.47126436781609193,2,3,1,3,0.53,0.38
1325360098,10,4,1,5,96,96,0.4791666666666667,0.5208333333333334,1,3,0,2,0.44,-0.25
1325355843,10,13,4,1,102,102,0.5,0.5,4,3,3,2,0.1200000000000001,-0.96
1325361800,13,8,1,2,111,111,0.5855855855855856,0.4144144144144144,2,3,1,2,-1.24,0.32
1325354992,7,10,2,0,96,96,0.4270833333333333,0.5729166666666666,4,2,1,2,0.23,0.66
1325349886,13,8,1,2,104,104,0.5288461538461539,0.47115384615384615,2,4,2,1,0.12,-1.32
1325351588,9,17,1,2,100,100,0.47,0.53,3,4,5,2,-0.03,0.28
1325348184,14,9,0,0,96,96,0.5729166666666666,0.4270833333333333,2,3,3,5,-1.36,1.93
1325352439,10,18,5,2,90,90,0.4111111111111111,0.5888888888888889,3,2,5,3,-0.09,1.66
1325353290,8,12,0,2,95,95,0.43157894736842106,0.5684210526315789,3,2,3,1,0.69,0.25
1325347333,12,7,1,5,88,88,0.5340909090909091,0.4659090909090909,1,3,0,3,-0.44,-0.26
1325349035,16,6,1,4,89,89,0.5617977528089888,0.43820224719101125,2,5,2,4,0.81,-1.49
1325345631,16,11,2,5,97,97,0.4845360824742268,0.5154639175257731,3,5,1,4,0.34,0.29
1325346482,13,10,5,1,122,122,0.47540983606557374,0.5245901639344263,2,2,3,4,-1.78,-0.35
1325350737,8,10,0,1,73,73,0.5205479452054794,0.4794520547945205,4,3,2,2,1.31,1.8
1325337121,16,13,2,4,85,85,0.49411764705882355,0.5058823529411764,5,3,2,5,-0.65,0
1325339674,11,7,3,3,91,91,0.5604395604395604,0.43956043956043955,2,3,2,4,-1.07,-0.91
1325341376,4,10,2,0,84,84,0.5476190476190477,0.4523809523809524,2,2,2,1,0.08,0.17
1325338823,15,13,3,3,112,112,0.48214285714285715,0.5178571428571429,2,3,3,4,0.9,-0.32
1325343078,17,7,1,2,107,107,0.5887850467289719,0.411214953271028,2,3,1,6,1.76,0.41
1325344780,14,21,2,2,127,127,0.48031496062992124,0.5196850393700787,4,3,5,4,0,0.01
1325337972,9,19,3,2,123,123,0.4065040650406504,0.5934959349593496,4,2,5,1,-0.06,0.03
1325340525,7,6,0,0,80,80,0.45,0.55,2,2,1,1,-0.86,-0.19
