match_id,fecha,ronda,equipo_local,equipo_visitante,goles_local,goles_visitante,arbitro,amarillas_local,rojas_local,amarillas_visitante,rojas_visitante
1336387356,2026-09-05T19:00:00.000Z,Regular Season - 4,Villarreal,Deportivo La Coruña,2,3,"Gil Manzano, Jesus",2,0,2,0
1336373740,2026-08-30T17:30:00.000Z,Regular Season - 3,Deportivo La Coruña,Valencia,3,1,"Ortiz Arias, Miguel Angel",2,1,1,0
1336367783,2026-08-24T19:30:00.000Z,Regular Season - 2,Malaga,Deportivo La Coruña,1,1,"Alberola Rojas, Javier",1,0,4,0
1336357571,2026-08-17T19:00:00.000Z,Regular Season - 1,Deportivo La Coruña,Elche,1,1,"Hernandez Maeso, Francisco Jose",2,0,2,0
1336380548,2026-09-05T14:15:00.000Z,Regular Season - 4,Athletic Club,Atlético Madrid,3,0,"Munuera Montero, Jose Luis",0,0,1,0
1336378846,2026-08-29T19:30:00.000Z,Regular Season - 3,Sevilla FC,Atlético Madrid,1,3,"Alberola Rojas, Javier",2,0,2,0
1336363528,2026-08-23T15:00:00.000Z,Regular Season - 2,Atlético Madrid,Villarreal,2,2,"Hernandez, Alejandro",3,1,2,0
1336355018,2026-08-19T19:00:00.000Z,Regular Season - 1,Atlético Madrid,Malaga,2,0,"Cordero Vega, Adrian",2,0,3,0
1336372889,2026-08-30T19:30:00.000Z,Regular Season - 3,Celta de Vigo,Athletic Club,0,2,"Busquets Ferrer, Mateo",0,0,3,0
1336355869,2026-08-27T19:00:00.000Z,Regular Season - 1,Barcelona,Athletic Club,2,0,"Ortiz Arias, Miguel Angel",1,0,2,0
1336362677,2026-08-22T15:00:00.000Z,Regular Season - 2,Athletic Club,Sevilla FC,1,3,"Soto Grado, Cesar",2,1,5,0
1336381399,2026-09-04T19:00:00.000Z,Regular Season - 4,Real Betis,Real Madrid,1,0,"Hernandez, Alejandro",3,0,5,0
1336377144,2026-08-30T15:00:00.000Z,Regular Season - 3,Real Madrid,Malaga,4,0,"Martinez Munuera, Juan",0,0,2,0
1336360124,2026-08-26T19:00:00.000Z,Regular Season - 1,Real Madrid,Real Sociedad,4,1,,3,0,3,0
1336366081,2026-08-22T19:30:00.000Z,Regular Season - 2,Espanyol,Real Madrid,1,2,"Sanchez Martinez, Jose Maria",1,0,1,0
1336386505,2026-09-06T14:15:00.000Z,Regular Season - 4,Valencia,Barcelona,0,5,"Diaz de Mera Escuderos, Isidro",1,0,3,0
1336372038,2026-08-31T19:30:00.000Z,Regular Season - 3,Barcelona,Rayo Vallecano,5,2,"Hernandez Maeso, Francisco Jose",0,0,1,0
1336365230,2026-08-23T19:30:00.000Z,Regular Season - 2,Elche,Barcelona,0,5,"Quintero Gonzalez, Alejandro",1,0,0,0
1336395015,2026-09-11T19:00:00.000Z,Regular Season - 5,Sevilla FC,Valencia,1,0,"Busquets Ferrer, Mateo",1,0,2,0
1336383101,2026-09-06T19:00:00.000Z,Regular Season - 4,Espanyol,Sevilla FC,1,1,,2,0,4,1
1336360975,2026-08-15T19:30:00.000Z,Regular Season - 1,Sevilla FC,Rayo Vallecano,2,1,"De Burgos Bengoechea, Ricardo",4,1,4,0
1336377995,2026-08-29T17:00:00.000Z,Regular Season - 3,Real Sociedad,Espanyol,2,1,"Orellana Cid, Manuel Jesus",2,0,4,0
1336358422,2026-08-16T17:00:00.000Z,Regular Season - 1,Espanyol,Levante,3,0,"Muniz Munoz, Carlos",3,0,0,0
1336382250,2026-09-07T19:30:00.000Z,Regular Season - 4,Elche,Real Sociedad,2,3,"Ortiz Arias, Miguel Angel",4,0,1,1
1336404376,2026-09-03T19:00:00.000Z,Regular Season - 6,Real Sociedad,Celta de Vigo,0,0,"Garcia Verdura, Victor",2,0,3,0
1336364379,2026-08-21T19:00:00.000Z,Regular Season - 2,Real Betis,Real Sociedad,1,0,"Diaz de Mera Escuderos, Isidro",3,0,3,0
1336374591,2026-08-29T15:00:00.000Z,Regular Season - 3,Levante,Real Betis,5,2,"De Burgos Bengoechea, Ricardo",1,0,1,0
1336361826,2026-08-25T19:00:00.000Z,Regular Season - 1,Valencia,Real Betis,0,1,"Gonzalez Esteban, Jon Ander",2,0,1,0
1336371187,2026-08-28T19:30:00.000Z,Regular Season - 3,Alavés,Villarreal,1,0,"Diaz de Mera Escuderos, Isidro",3,0,2,0
1336359273,2026-08-16T15:00:00.000Z,Regular Season - 1,Racing Santander,Villarreal,2,2,"Sesma Espinosa, Miguel",3,0,4,0
1336385654,2026-09-05T16:30:00.000Z,Regular Season - 4,Rayo Vallecano,Racing Santander,3,2,"Quintero Gonzalez, Alejandro",3,2,2,0
1336369485,2026-08-20T19:00:00.000Z,Regular Season - 2,Rayo Vallecano,Alavés,1,1,"Munuera Montero, Jose Luis",1,0,2,0
1336392462,2026-09-12T12:00:00.000Z,Regular Season - 5,Racing Santander,Alavés,2,1,,2,1,3,0
1336376293,2026-08-28T17:00:00.000Z,Regular Season - 3,Racing Santander,Elche,3,2,"Muniz Munoz, Carlos",2,0,1,0
