hora,partido,mercado,lado,mejor,casa_mejor,mediana,prob,casas
15:00,Slovenia - Scotland,Full Time Result,Home,2.7,1Bet,2.6,0.3608562051882355,50
15:00,Slovenia - Scotland,Full Time Result,Draw,3.2,20Bet,3.05,0.3076151257342336,50
15:00,Slovenia - Scotland,Full Time Result,Away,2.92,Bet9ja,2.83,0.3315286690775309,50
15:00,Slovenia - Scotland,Total Goals 2.5,Over,2.43,1xBet,2.37,0.398477157360406,35
15:00,Slovenia - Scotland,Total Goals 2.5,Under,1.62,1xBet,1.57,0.6015228426395939,35
15:00,Slovenia - Scotland,Both Teams To Score,Yes,2.0,Coral,1.95,0.47580645161290325,29
15:00,Slovenia - Scotland,Both Teams To Score,No,1.84,FanDuel,1.77,0.5241935483870968,29
18:00,San Marino - Finland,Full Time Result,Home,40.0,Mostbet,30.0,0.0316457109676843,50
18:00,San Marino - Finland,Full Time Result,Draw,11.0,20Bet,9.75,0.09737141836210554,50
18:00,San Marino - Finland,Full Time Result,Away,1.11,1Bet,1.09,0.8709828706702101,50
18:00,San Marino - Finland,Total Goals 2.5,Over,1.5,Casumo Sport,1.45,0.6446078431372548,35
18:00,San Marino - Finland,Total Goals 2.5,Under,2.75,10bet,2.63,0.35539215686274506,35
18:00,San Marino - Finland,Both Teams To Score,Yes,3.45,DraftKings,3.2,0.2888888888888889,29
18:00,San Marino - Finland,Both Teams To Score,No,1.39,Novibet,1.3,0.7111111111111111,29
18:00,Faroe Islands - Kazakhstan,Full Time Result,Home,2.38,Casumo Sport,2.25,0.4155251141552511,50
18:00,Faroe Islands - Kazakhstan,Full Time Result,Draw,3.38,1xBet,3.15,0.2968036529680365,50
18:00,Faroe Islands - Kazakhstan,Full Time Result,Away,3.35,1xBet,3.25,0.28767123287671237,50
18:00,Faroe Islands - Kazakhstan,Total Goals 2.5,Over,2.35,BetUK,2.2,0.42558746736292424,35
18:00,Faroe Islands - Kazakhstan,Total Goals 2.5,Under,1.67,1xBet,1.63,0.5744125326370757,35
18:00,Faroe Islands - Kazakhstan,Both Teams To Score,Yes,2.03,Vbet Sport,1.91,0.4851752021563342,29
18:00,Faroe Islands - Kazakhstan,Both Teams To Score,No,1.89,FanDuel,1.8,0.5148247978436657,29
18:00,Bulgaria - Luxembourg,Full Time Result,Home,2.43,Bet9ja,2.35,0.3998700797791356,50
18:00,Bulgaria - Luxembourg,Full Time Result,Draw,3.35,Casumo Sport,2.94,0.3196240433608737,50
18:00,Bulgaria - Luxembourg,Full Time Result,Away,4.1,Casumo Sport,3.35,0.2805058768599906,50
18:00,Bulgaria - Luxembourg,Total Goals 2.5,Over,2.85,bet365,2.71,0.3454106280193236,35
18:00,Bulgaria - Luxembourg,Total Goals 2.5,Under,1.6,Casumo Sport,1.43,0.6545893719806762,35
18:00,Bulgaria - Luxembourg,Both Teams To Score,Yes,2.3,Mostbet,2.2,0.4225721784776903,29
18:00,Bulgaria - Luxembourg,Both Teams To Score,No,1.75,Vbet Sport,1.61,0.5774278215223098,29
18:00,Iceland - Estonia,Full Time Result,Home,1.35,Casumo Sport,1.28,0.7346015728744063,50
18:00,Iceland - Estonia,Full Time Result,Draw,5.8,20Bet,5.45,0.1725302776659156,50
18:00,Iceland - Estonia,Full Time Result,Away,12.0,BetVictor,10.125,0.09286814945967803,50
18:00,Iceland - Estonia,Total Goals 2.5,Over,1.81,Casumo Sport,1.7,0.5526315789473685,35
18:00,Iceland - Estonia,Total Goals 2.5,Under,2.18,1xBet,2.1,0.4473684210526316,35
18:00,Iceland - Estonia,Both Teams To Score,Yes,2.32,FanDuel,2.2,0.42408376963350786,29
18:00,Iceland - Estonia,Both Teams To Score,No,1.67,DraftKings,1.62,0.5759162303664922,29
20:45,Albania - Belarus,Full Time Result,Home,1.64,1Bet,1.58,0.5939702220102792,49
