partido,match_id,mercado,casa,lado,cuota
England - Spain,1301087025,Full Time Result,TonyBet,Home,3.9
England - Spain,1301087025,Full Time Result,TonyBet,Draw,3.7
England - Spain,1301087025,Full Time Result,TonyBet,Away,1.99
England - Spain,1301087025,Total Goals 2.75,TonyBet,Over,1.93
England - Spain,1301087025,Total Goals 2.75,TonyBet,Under,1.92
England - Spain,1301087025,Total Goals 0.5,TonyBet,Over,1.05
England - Spain,1301087025,Total Goals 0.5,TonyBet,Under,12.0
England - Spain,1301087025,Total Goals 0.75,TonyBet,Over,1.05
England - Spain,1301087025,Total Goals 0.75,TonyBet,Under,11.0
England - Spain,1301087025,Total Goals 1,TonyBet,Over,1.06
England - Spain,1301087025,Total Goals 1,TonyBet,Under,10.0
England - Spain,1301087025,Total Goals 1.25,TonyBet,Over,1.15
England - Spain,1301087025,Total Goals 1.25,TonyBet,Under,6.0
England - Spain,1301087025,Total Goals 1.5,TonyBet,Over,1.23
England - Spain,1301087025,Total Goals 1.5,TonyBet,Under,4.5
England - Spain,1301087025,Total Goals 1.75,TonyBet,Over,1.28
England - Spain,1301087025,Total Goals 1.75,TonyBet,Under,3.85
England - Spain,1301087025,Total Goals 2,TonyBet,Over,1.34
England - Spain,1301087025,Total Goals 2,TonyBet,Under,3.4
England - Spain,1301087025,Total Goals 2.25,TonyBet,Over,1.55
England - Spain,1301087025,Total Goals 2.25,TonyBet,Under,2.55
England - Spain,1301087025,Total Goals 2.5,TonyBet,Over,1.71
England - Spain,1301087025,Total Goals 2.5,TonyBet,Under,2.19
England - Spain,1301087025,Total Goals 3,TonyBet,Over,2.19
England - Spain,1301087025,Total Goals 3,TonyBet,Under,1.71
England - Spain,1301087025,Total Goals 3.25,TonyBet,Over,2.5
England - Spain,1301087025,Total Goals 3.25,TonyBet,Under,1.56
England - Spain,1301087025,Total Goals 3.5,TonyBet,Over,2.75
England - Spain,1301087025,Total Goals 3.5,TonyBet,Under,1.48
England - Spain,1301087025,Total Goals 3.75,TonyBet,Over,3.35
England - Spain,1301087025,Total Goals 3.75,TonyBet,Under,1.35
England - Spain,1301087025,Total Goals 4,TonyBet,Over,4.4
England - Spain,1301087025,Total Goals 4,TonyBet,Under,1.23
England - Spain,1301087025,Total Goals 4.25,TonyBet,Over,4.8
England - Spain,1301087025,Total Goals 4.25,TonyBet,Under,1.2
