seleccion,jugador_id,jugador,posicion,once_probable,fuente_once,once_habitual,club_partidos,club_min,club_nota_bruta,club_goles,club_asist,prev_ga90_25_26,sel_partidos,sel_min,sel_nota_bruta,club_ahora,seleccion_ajustada,nota,sin_datos_club
Croatia,7526260,A. Budimir,Forward,True,real,False,7,502,7.6,5.0,0.0,0.57,12,615,6.67,7.36,6.97,7.21,False
Croatia,20774467,J. Gvardiol,Defender,True,real,True,5,435,7.52,1.0,2.0,0.34,13,851,6.83,7.25,6.98,7.14,False
Croatia,121548,Luka Modrić,Midfielder,True,real,True,5,311,7.17,0.0,0.0,0.16,16,1011,7.37,7.04,7.27,7.13,False
Croatia,62391035,L. Vušković,Defender,True,real,False,5,438,7.47,1.0,0.0,0.24,4,270,6.68,7.22,6.98,7.13,False
Croatia,47499340,Martin Baturina,Midfielder,True,real,True,5,269,7.17,2.0,1.0,0.59,12,726,7.07,7.03,7.06,7.04,False
Croatia,56061159,Petar Sučić,Midfielder,True,real,True,4,182,7.23,0.0,0.0,0.28,15,1032,7.06,7.03,7.05,7.04,False
Croatia,33481,I. Perišić,Midfielder,True,real,True,0,0,,,,,17,1219,7.27,6.9,7.17,7.01,True
Croatia,210259,D. Livaković,Goalkeeper,True,real,True,1,90,6.57,0.0,0.0,0.0,16,1376,7.01,6.95,6.99,6.97,False
Croatia,369005,M. Kovačić,Midfielder,True,real,True,2,42,6.67,0.0,0.0,0.37,9,615,6.93,6.87,6.91,6.88,False
Croatia,20152685,J. Stanišić,Defender,True,real,True,3,196,6.59,0.0,0.0,0.29,13,1098,6.9,6.72,6.85,6.77,False
Croatia,135716,Nikola Vlašić,Midfielder,True,real,True,5,428,6.36,0.0,0.0,0.38,9,393,6.72,6.57,6.65,6.6,False
Croatia,32634210,I. Matanović,Forward,False,real,False,4,324,7.97,3.0,1.0,0.65,7,235,6.38,7.49,7.03,7.31,False
Croatia,1180606,L. Sučić,Midfielder,False,real,False,7,551,7.2,3.0,0.0,0.47,5,184,6.7,7.1,6.99,7.06,False
Croatia,32675265,F. Ivanović,Forward,False,real,False,3,180,7.22,2.0,0.0,0.71,9,407,7.05,7.03,7.04,7.04,False
Croatia,84518,Dominik Kotarski,Goalkeeper,False,real,False,0,0,,,,,2,121,6.58,7.08,6.98,7.04,True
Croatia,45864063,Toni Fruk,Midfielder,False,real,False,0,0,,,,,5,249,7.96,6.9,7.17,7.01,True
Croatia,212835,L. Majer,Midfielder,False,real,False,0,0,,,,0.5,3,204,8.14,6.9,7.14,6.99,True
Croatia,41999419,Marco Pašalić,Forward,False,real,False,0,0,,,,,11,447,7.24,6.91,7.08,6.98,True
Croatia,2317749,K. Jakić,Defender,False,real,False,0,0,,,,0.15,7,416,7.66,6.82,7.13,6.94,True
Croatia,10635009,Petar Musa,Forward,False,real,False,0,0,,,,,5,274,6.96,6.91,6.93,6.92,True
Croatia,306376,Duje Ćaleta-Car,Defender,False,real,False,2,99,6.95,0.0,0.0,0.03,8,708,7.14,6.85,6.98,6.9,False
Croatia,117040,A. Kramarić,Forward,False,real,False,4,44,6.43,0.0,0.0,0.85,15,818,7.08,6.84,6.98,6.9,False
Croatia,212996,Nikola Moro,Midfielder,False,real,False,4,92,6.87,0.0,0.0,0.1,7,231,6.97,6.89,6.91,6.9,False
Croatia,214284,Mislav Oršić,Forward,False,real,False,0,0,,,,,1,19,6.34,6.91,6.89,6.9,True
Croatia,2367015,Josip Šutalo,Defender,False,real,True,2,174,6.94,0.0,0.0,0.0,13,1054,6.9,6.87,6.89,6.88,False
Croatia,4963301,M. Erlić,Defender,False,real,False,0,0,,,,0.22,3,194,7.29,6.82,6.97,6.88,True
Croatia,2306801,D. Bradarić,Defender,False,real,False,0,0,,,,0.09,1,90,7.88,6.82,6.94,6.87,True
Croatia,444997,Mario Pašalić,Midfielder,False,real,False,4,184,6.61,0.0,0.0,0.55,16,785,7.12,6.78,6.98,6.86,False
Croatia,2307284,J. Juranović,Defender,False,real,False,3,254,6.74,0.0,2.0,0.55,1,95,8.02,6.78,6.88,6.82,False
Croatia,2296980,Ivan Smolčić,Defender,False,real,False,1,32,6.85,0.0,0.0,0.09,1,10,6.95,6.82,6.82,6.82,False
Croatia,4234937,B. Sosa,Defender,False,real,False,1,26,6.15,0.0,0.0,0.0,1,51,7.05,6.76,6.78,6.76,False
Croatia,174678,Marin Pongračić,Defender,False,real,True,2,71,6.26,0.0,0.0,0.02,11,718,6.78,6.7,6.75,6.72,False
Czech Republic,43365343,L. Horníček,Goalkeeper,True,real,False,5,450,7.34,0.0,0.0,0.0,0,0,,7.25,7.25,7.25,False
Czech Republic,32179385,Adam Karabec,Midfielder,True,real,False,0,0,,,,0.35,4,217,7.71,6.9,7.12,6.99,True
Czech Republic,10629213,A. Hložek,Forward,True,real,False,4,270,7.18,2.0,0.0,0.0,4,185,6.63,7.05,6.89,6.98,False
Czech Republic,10688461,P. Šulc,Midfielder,True,real,True,5,258,7.13,0.0,3.0,,13,988,6.78,7.01,6.86,6.95,False
Czech Republic,38955,Michal Sadílek,Midfielder,True,real,True,0,0,,,,,11,485,7.0,6.9,6.95,6.92,True
Czech Republic,-3,Ambros,Midfielder,True,real,False,0,0,,,,,0,0,,6.9,6.9,6.9,True
Czech Republic,-4,Macek,Midfielder,True,real,False,0,0,,,,,0,0,,6.9,6.9,6.9,True
Czech Republic,-2,Kricfalusi,Defender,True,real,False,0,0,,,,,0,0,,6.82,6.82,6.82,True
Czech Republic,54376294,Štěpán Chaloupek,Defender,True,real,True,0,0,,,,,4,307,6.76,6.82,6.79,6.81,True
Czech Republic,198345,V. Coufal,Defender,True,real,True,4,339,6.55,0.0,2.0,0.29,12,1093,7.16,6.67,7.01,6.8,False
Czech Republic,26237358,R. Hranáč,Defender,True,real,True,2,48,6.57,0.0,0.0,0.04,8,731,6.56,6.78,6.63,6.72,False
Czech Republic,10682021,J. Staněk,Goalkeeper,False,real,False,0,0,,,,,1,90,8.18,7.08,7.19,7.13,True
Czech Republic,26192761,Vítězslav Jaroš,Goalkeeper,False,real,False,0,0,,,,,1,45,6.57,7.08,7.05,7.07,True
Czech Republic,22347598,M. Kovář,Goalkeeper,False,real,True,0,0,,,,0.0,13,1185,6.8,7.08,6.88,7.0,True
Czech Republic,10691681,L. Krejčí,Defender,False,real,True,0,0,,,,0.09,12,1140,7.44,6.82,7.26,6.99,True
Czech Republic,127988,P. Schick,Forward,False,real,True,4,261,7.22,4.0,1.0,0.82,12,881,6.77,7.06,6.88,6.99,False
Czech Republic,10660608,David Douděra,Midfielder,False,real,False,0,0,,,,,4,241,7.4,6.9,7.08,6.97,True
Czech Republic,88543,Václav Černý,Midfielder,False,real,False,0,0,,,,,8,493,7.39,6.9,7.06,6.96,True
Czech Republic,200277,Tomáš Souček,Midfielder,False,real,True,0,0,,,,0.21,13,1031,7.08,6.9,7.02,6.95,True
Czech Republic,26113388,Lukáš Červ,Midfielder,False,real,True,0,0,,,,,10,662,7.06,6.9,6.99,6.93,True
Czech Republic,131852,Tomáš Chorý,Forward,False,real,False,0,0,,,,,12,511,6.93,6.91,6.92,6.91,True
