combo,n_vars,n,sigmas,acierto,acierto_mercado
arbitro_v20+h2h_reciente+tabla_goles,3,2239,-0.8612031664711346,0.589622641509434,0.5849056603773585
arbitro_v20+h2h_reciente+impacto_jugador,3,2239,-1.286188665224899,0.5754716981132075,0.5849056603773585
arbitro_v20+h2h_reciente+localia,3,2090,-0.7252398269037936,0.5927835051546392,0.5927835051546392
arbitro_v20+h2h_reciente+momentum5,3,2239,-0.8671560408876973,0.5754716981132075,0.5849056603773585
arbitro_v20+tabla_goles+impacto_jugador,3,2239,-0.9803728281846728,0.5849056603773585,0.5849056603773585
arbitro_v20+tabla_goles+localia,3,2090,-0.9162305499030858,0.5721649484536082,0.5927835051546392
arbitro_v20+tabla_goles+momentum5,3,2239,-0.98468712245569,0.589622641509434,0.5849056603773585
arbitro_v20+impacto_jugador+localia,3,2090,-1.4484175411318791,0.5721649484536082,0.5927835051546392
arbitro_v20+impacto_jugador+momentum5,3,2239,-1.2900924267594236,0.5754716981132075,0.5849056603773585
arbitro_v20+localia+momentum5,3,2090,-1.1216007398189851,0.5824742268041238,0.5927835051546392
h2h_reciente+tabla_goles+impacto_jugador,3,2239,-1.2586698194293449,0.5518867924528302,0.5849056603773585
h2h_reciente+tabla_goles+localia,3,2090,-1.3797038913995412,0.5618556701030928,0.5927835051546392
h2h_reciente+tabla_goles+momentum5,3,2239,-1.344464626033049,0.5801886792452831,0.5849056603773585
h2h_reciente+impacto_jugador+localia,3,2090,-1.8659191619897988,0.5412371134020618,0.5927835051546392
h2h_reciente+impacto_jugador+momentum5,3,2239,-1.7645099131205408,0.5424528301886793,0.5849056603773585
h2h_reciente+localia+momentum5,3,2090,-1.529616066270589,0.5979381443298969,0.5927835051546392
tabla_goles+impacto_jugador+localia,3,2090,-1.801743739424832,0.5309278350515464,0.5927835051546392
tabla_goles+impacto_jugador+momentum5,3,2239,-1.638868495654133,0.5283018867924528,0.5849056603773585
tabla_goles+localia+momentum5,3,2090,-1.429491729866736,0.5721649484536082,0.5927835051546392
impacto_jugador+localia+momentum5,3,2090,-1.8315729508947935,0.5567010309278351,0.5927835051546392
arbitro_v20+h2h_reciente+tabla_goles+impacto_jugador,4,2239,-1.1149521851145943,0.5849056603773585,0.5849056603773585
arbitro_v20+h2h_reciente+tabla_goles+localia,4,2090,-0.6669482054264424,0.5773195876288659,0.5927835051546392
arbitro_v20+h2h_reciente+tabla_goles+momentum5,4,2239,-0.9385258866073195,0.589622641509434,0.5849056603773585
arbitro_v20+h2h_reciente+impacto_jugador+localia,4,2090,-1.3227590447712185,0.5824742268041238,0.5927835051546392
arbitro_v20+h2h_reciente+impacto_jugador+momentum5,4,2239,-1.3234738857358688,0.5849056603773585,0.5849056603773585
arbitro_v20+h2h_reciente+localia+momentum5,4,2090,-1.0333618084106035,0.5876288659793815,0.5927835051546392
arbitro_v20+tabla_goles+impacto_jugador+localia,4,2090,-1.3882084064009308,0.5824742268041238,0.5927835051546392
arbitro_v20+tabla_goles+impacto_jugador+momentum5,4,2239,-1.1657348471572753,0.589622641509434,0.5849056603773585
arbitro_v20+tabla_goles+localia+momentum5,4,2090,-0.8806790665405708,0.5979381443298969,0.5927835051546392
arbitro_v20+impacto_jugador+localia+momentum5,4,2090,-1.4004731092060712,0.5721649484536082,0.5927835051546392
h2h_reciente+tabla_goles+impacto_jugador+localia,4,2090,-1.825200317152944,0.5463917525773195,0.5927835051546392
h2h_reciente+tabla_goles+impacto_jugador+momentum5,4,2239,-1.4589859743385847,0.5613207547169812,0.5849056603773585
h2h_reciente+tabla_goles+localia+momentum5,4,2090,-1.4833150441006908,0.5927835051546392,0.5927835051546392
h2h_reciente+impacto_jugador+localia+momentum5,4,2090,-1.8612654643018853,0.5670103092783505,0.5927835051546392
tabla_goles+impacto_jugador+localia+momentum5,4,2090,-1.7350287188085258,0.5721649484536082,0.5927835051546392
arbitro_v20+h2h_reciente+tabla_goles+impacto_jugador+localia,5,2090,-1.2323191940572482,0.5721649484536082,0.5927835051546392
arbitro_v20+h2h_reciente+tabla_goles+impacto_jugador+momentum5,5,2239,-1.1457134309445614,0.589622641509434,0.5849056603773585
arbitro_v20+h2h_reciente+tabla_goles+localia+momentum5,5,2090,-0.8241606345533229,0.5979381443298969,0.5927835051546392
arbitro_v20+h2h_reciente+impacto_jugador+localia+momentum5,5,2090,-1.4839574074162647,0.5721649484536082,0.5927835051546392
arbitro_v20+tabla_goles+impacto_jugador+localia+momentum5,5,2090,-1.2464177681706445,0.5824742268041238,0.5927835051546392
h2h_reciente+tabla_goles+impacto_jugador+localia+momentum5,5,2090,-1.7500159507236908,0.5773195876288659,0.5927835051546392
arbitro_v20+h2h_reciente+tabla_goles+impacto_jugador+localia+momentum5,6,2090,-1.196383773471756,0.5876288659793815,0.5927835051546392
