match_id,mes,p,y,fd_local,fd_visit,sim,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,PC>2.5,PC<2.5,AvgC>2.5,AvgC<2.5,MaxC>2.5,MaxC<2.5,p_avg,p_pc,temporada
1183592008,2025-08,0.57378936,1,Girona,Vallecano,1.0,2.2,1.67,2.24,1.71,2.2,1.73,2.14,1.68,2.24,1.72,2.17,1.66,2.22,1.68,0.4397905759162304,0.43434343434343436,2025/26
1180938590,2025-08,0.67268616,0,Rennes,Marseille,1.0,1.88,1.98,1.91,2.0,1.88,2.05,1.79,1.97,1.88,2.03,1.76,2.01,1.81,2.08,0.5239361702127661,0.5191815856777493,2025/26
1173503403,2025-08,0.6771191,1,Liverpool,Bournemouth,1.0,1.36,3.2,1.37,3.26,1.38,3.3,1.35,3.13,1.41,2.95,1.36,3.05,1.4,3.2,0.6986607142857143,0.676605504587156,2025/26
1183957938,2025-08,0.55178106,1,Burgos,Cultural Leonesa,1.0,2.35,1.57,2.36,1.64,2.35,1.62,2.23,1.58,2.62,1.53,2.55,1.46,2.7,1.5,0.4146981627296588,0.3686746987951807,2025/26
1188800128,2025-08,0.5116426,1,Valladolid,Ceuta,1.0,1.98,1.83,1.96,1.93,1.98,1.88,1.88,1.83,2.27,1.68,2.13,1.64,2.25,1.8,0.4932614555256065,0.4253164556962025,2025/26
1183595412,2025-08,0.49509797,0,Villarreal,Oviedo,1.0,1.85,2.0,1.89,2.02,1.91,2.0,1.84,1.92,1.85,2.06,1.82,1.94,1.89,2.03,0.5106382978723405,0.526854219948849,2025/26
1173504254,2025-08,0.60193837,0,Aston Villa,Newcastle,1.0,1.62,2.3,1.65,2.33,1.65,2.33,1.61,2.25,1.66,2.31,1.75,2.04,1.83,2.18,0.582901554404145,0.5818639798488666,2025/26
1173505105,2025-08,0.57890123,0,Brighton,Fulham,1.0,1.73,2.1,1.76,2.15,1.74,2.15,1.71,2.08,1.91,2.0,1.84,1.93,1.91,2.04,0.5488126649076518,0.5115089514066496,2025/26
1173506807,2025-08,0.47777858,1,Sunderland,West Ham,1.0,1.93,1.93,1.98,1.91,1.94,1.93,1.88,1.88,2.24,1.7,2.11,1.69,2.25,1.75,0.5,0.43147208121827413,2025/26
1173507658,2025-08,0.57248366,1,Tottenham,Burnley,1.0,1.73,2.1,1.74,2.17,1.73,2.3,1.66,2.16,1.91,2.0,1.88,1.88,1.93,1.93,0.5654450261780105,0.5115089514066496,2025/26
