match_id,fd_local,fd_visit,sim,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,PC>2.5,PC<2.5,AvgC>2.5,AvgC<2.5,MaxC>2.5,MaxC<2.5
1325357545,Fulham,Man United,0.72,1.57,2.38,,,1.58,2.4,1.55,2.35,,,1.57,2.33,1.62,2.4
1325358396,Leeds,Crystal Palace,1.0,1.73,2.1,,,2.25,2.1,1.73,2.03,,,1.69,2.1,1.73,2.2
1325359247,Man City,Sunderland,0.67,1.57,2.38,,,1.58,2.4,1.56,2.32,,,1.61,2.26,1.65,2.38
1325354141,Bournemouth,Liverpool,1.0,1.5,2.63,,,2.25,2.63,1.52,2.53,,,1.55,2.39,1.62,2.5
1325360949,Nott'm Forest,Coventry,0.81,1.8,2.0,,,1.8,2.05,1.75,2.01,,,1.73,2.04,1.8,2.15
1325356694,Everton,Ipswich,1.0,1.73,2.1,,,1.73,2.1,1.7,2.08,,,1.67,2.14,1.7,2.2
1325360098,Newcastle,Hull,1.0,1.62,2.3,,,1.62,2.3,1.59,2.27,,,1.55,2.38,1.58,2.4
1325355843,Brighton,Arsenal,1.0,1.73,2.1,,,1.73,2.1,1.71,2.06,,,1.78,1.98,1.83,2.05
1325361800,Tottenham,Aston Villa,1.0,1.83,2.03,,,1.83,2.03,1.78,1.98,,,1.6,2.29,1.64,2.4
1325354992,Brentford,Chelsea,1.0,1.5,2.63,,,1.54,2.7,1.48,2.59,,,1.49,2.54,1.58,2.63
1325349886,Leeds,Newcastle,1.0,1.8,2.0,,,1.8,2.05,1.75,2.0,,,1.68,2.12,1.73,2.2
1325351588,Man United,Man City,0.67,1.53,2.5,,,1.55,2.55,1.5,2.49,,,1.45,2.67,1.5,2.9
1325348184,Coventry,Brighton,1.0,1.73,2.1,,,1.75,2.1,1.72,2.03,,,1.61,2.24,1.65,2.38
1325352439,Sunderland,Arsenal,1.0,2.1,1.73,,,2.1,1.78,2.02,1.74,,,2.08,1.71,2.15,1.75
1325353290,Tottenham,Everton,1.0,1.91,1.91,,,2.38,1.91,1.9,1.84,,,1.72,2.07,1.8,2.15
1325347333,Chelsea,Hull,1.0,1.4,3.0,,,1.42,3.0,1.39,2.83,,,1.42,2.78,1.45,3.0
1325349035,Crystal Palace,Ipswich,1.0,1.8,2.0,,,1.83,2.1,1.76,1.99,,,1.66,2.16,1.7,2.25
1325345631,Aston Villa,Nott'm Forest,0.81,1.98,1.88,,,1.98,1.88,1.89,1.83,,,1.83,1.92,1.91,1.95
1325346482,Bournemouth,Brentford,1.0,1.62,2.3,,,2.5,2.3,1.67,2.2,,,1.69,2.17,2.5,2.3
1325350737,Liverpool,Fulham,1.0,1.44,2.75,,,2.2,2.75,1.5,2.59,,,1.47,2.61,1.52,2.75
1325337121,Arsenal,Chelsea,1.0,1.73,2.1,,,1.77,2.1,1.73,2.03,,,1.71,2.07,1.8,2.15
1325339674,Everton,Man United,0.72,1.73,2.1,,,1.73,2.2,1.67,2.12,,,1.57,2.34,1.62,2.4
1325341376,Hull,Aston Villa,1.0,1.88,1.98,,,1.88,1.98,1.83,1.91,,,1.8,1.96,1.84,2.05
1325338823,Brighton,Leeds,1.0,1.91,1.91,,,2.1,1.95,1.85,1.89,,,1.76,2.01,1.8,2.05
1325343078,Man City,Coventry,0.67,1.36,3.2,,,1.36,3.25,1.34,3.17,,,1.38,2.95,1.42,3.1
1325344780,Nott'm Forest,Tottenham,0.81,1.91,1.91,,,2.38,1.91,1.91,1.83,,,1.84,1.92,1.9,2.0
1325337972,Brentford,Sunderland,1.0,1.8,2.0,,,2.1,2.0,1.82,1.93,,,1.79,1.97,1.83,2.03
1325340525,Fulham,Crystal Palace,1.0,1.91,1.91,,,2.5,1.93,1.89,1.86,,,1.84,1.92,1.88,2.0
1325343929,Newcastle,Bournemouth,1.0,1.57,2.38,,,1.6,2.4,1.55,2.37,,,1.58,2.32,1.64,2.45
1325342227,Ipswich,Liverpool,1.0,1.4,3.0,,,1.42,3.1,1.37,2.99,,,1.45,2.66,1.5,2.8
1325328611,Aston Villa,Arsenal,1.0,1.83,2.03,,,1.83,2.1,1.75,2.0,,,1.7,2.08,1.75,2.15
1325334568,Man United,Ipswich,0.72,1.57,2.38,,,1.6,2.38,1.57,2.29,,,1.39,2.86,1.45,3.1
