team_id,team_name,player_id,player_name,minutos_temporada,reason,fromDate,toDate,missedGames
457771,Leganes,327950,Juan Soriano,3780,Knee bruise,18.01.2017,29.01.2017,2.0
616057,Almería,271278,Andrés Fernández,3690,Adductor injury,04.11.2023,23.11.2023,3.0
616057,Almería,271278,Andrés Fernández,3690,Corona virus,08.01.2021,22.01.2021,2.0
616057,Almería,271278,Andrés Fernández,3690,Cruciate ligament tear,26.08.2017,26.03.2018,39.0
616057,Almería,271278,Andrés Fernández,3690,Back injury,07.10.2015,13.10.2015,
455218,Las Palmas,210098,D. Horkaš,3638,Broken finger,08.05.2023,27.05.2023,2.0
455218,Las Palmas,210098,D. Horkaš,3638,Unknown,12.03.2021,23.03.2021,2.0
8153364,Burgos,16886317,Grego,3585,Muscle injury,08.03.2022,01.04.2022,3.0
622865,Sporting Gijón,7607082,Rubén Yáñez,3524,Partial damage to the cruciate ligament,05.02.2024,05.03.2024,4.0
680733,Mirandes,29556856,Juan Gutiérrez,3510,Muscle injury,11.08.2023,04.09.2023,4.0
3970699,Racing Santander,7600803,Andrés Martín,3461,Fever,12.02.2020,04.03.2020,3.0
457771,Leganes,52318,Amadou Diawara,3458,Muscle injury,13.09.2022,16.09.2022,1.0
457771,Leganes,52318,Amadou Diawara,3458,Pubalgia,30.04.2021,23.05.2021,5.0
457771,Leganes,52318,Amadou Diawara,3458,Tendon irritation,19.01.2021,22.01.2021,2.0
457771,Leganes,52318,Amadou Diawara,3458,Corona virus,12.10.2020,10.11.2020,7.0
457771,Leganes,52318,Amadou Diawara,3458,Meniscus injury,22.01.2020,05.03.2020,8.0
457771,Leganes,52318,Amadou Diawara,3458,Meniscus tear,06.10.2019,04.11.2019,7.0
457771,Leganes,52318,Amadou Diawara,3458,Muscle injury,15.03.2019,26.05.2019,14.0
8629073,AD Ceuta FC,7542682,Carlos Hernández,3438,Muscle injury,13.11.2018,13.12.2018,4.0
8629073,AD Ceuta FC,7542682,Carlos Hernández,3438,Muscle injury,12.09.2018,01.11.2018,7.0
4471938,Castellón,19704783,R. Matthys,3420,Hip injury,01.09.2025,10.09.2025,1.0
618610,Huesca,7556528,Dani Jiménez,3420,Corona virus,19.12.2021,30.12.2021,1.0
8153364,Burgos,29412600,Iván Morante,3380,Meniscus injury,02.10.2021,16.11.2021,7.0
622865,Sporting Gijón,19279099,Álex Corredera,3367,Broken foot,25.09.2022,25.10.2022,5.0
622865,Sporting Gijón,19279099,Álex Corredera,3367,Corona virus,01.03.2022,08.03.2022,
622865,Sporting Gijón,26255390,César Gelabert,3365,Ankle injury,27.03.2023,20.04.2023,3.0
622865,Sporting Gijón,26255390,César Gelabert,3365,Cruciate ligament tear,08.01.2022,08.08.2022,20.0
622865,Sporting Gijón,26255390,César Gelabert,3365,Cruciate ligament tear,23.06.2018,23.12.2018,
622865,Sporting Gijón,29386196,Guille Rosas,3345,Hamstring injury,31.01.2022,20.04.2022,13.0
622865,Sporting Gijón,29386196,Guille Rosas,3345,Calf injury,19.09.2021,08.10.2021,2.0
455218,Las Palmas,21176323,Enrique Clemente,3340,Cruciate ligament tear,24.09.2018,01.04.2019,
463728,Deportivo La Coruña,7597744,Miguel Loureiro,3298,Knee injury,18.08.2024,26.09.2024,5.0
3970699,Racing Santander,7614327,Iñigo Vicente,3284,Pubic bone irritation,01.01.2022,20.01.2022,3.0
3970699,Racing Santander,7614327,Iñigo Vicente,3284,Corona virus,30.01.2021,16.02.2021,5.0
456069,Malaga,30630887,David Larrubia,3260,Ankle injury,07.04.2026,30.04.2026,
455218,Las Palmas,19679184,Manu Fuster,3197,Unknown,20.09.2021,20.10.2021,4.0
618610,Huesca,7658763,Jorge Pulido,3195,Torn muscle fiber,14.03.2022,09.04.2022,3.0
618610,Huesca,7658763,Jorge Pulido,3195,Torn muscle fiber,10.02.2022,04.03.2022,3.0
618610,Huesca,7658763,Jorge Pulido,3195,Muscle injury,21.04.2019,28.04.2019,1.0
618610,Huesca,7658763,Jorge Pulido,3195,Flu,20.12.2018,25.12.2018,1.0
618610,Huesca,7658763,Jorge Pulido,3195,Knee surgery,14.04.2015,01.06.2015,8.0
4471938,Castellón,3868340,J. Mellot,3181,Torn muscle fiber,24.11.2023,06.01.2024,6.0
455218,Las Palmas,26158629,Mika Màrmol,3166,Broken nose bone,29.05.2022,30.06.2022,
455218,Las Palmas,26158629,Mika Màrmol,3166,Corona virus,12.07.2021,26.07.2021,
607547,Cordoba,29381044,Jacobo González,3125,Metatarsal fracture,03.12.2020,30.04.2021,23.0
607547,Cordoba,27250370,Iker Álvarez,3105,Pelvic injury,24.08.2019,08.03.2020,
616057,Almería,7575526,Álex Muñoz,3068,Muscle injury,06.05.2024,20.05.2024,2.0
616057,Almería,7575526,Álex Muñoz,3068,Muscular problems,10.11.2023,01.12.2023,2.0
616057,Almería,7575526,Álex Muñoz,3068,Hamstring injury,16.10.2023,01.11.2023,3.0
616057,Almería,7575526,Álex Muñoz,3068,Adductor tear,18.02.2023,01.03.2023,1.0
616057,Almería,7575526,Álex Muñoz,3068,Knee problems,01.03.2022,19.03.2022,2.0
616057,Almería,7575526,Álex Muñoz,3068,Muscle injury,24.04.2021,22.05.2022,16.0
455218,Las Palmas,29440131,Sergio Barcia,3019,Shoulder injury,04.03.2023,04.04.2023,4.0
613504,Valladolid,2309055,S. Jurić,3016,Ankle injury,25.07.2019,31.08.2019,5.0
616057,Almería,4924017,F. Bonini,3013,Ankle sprain,07.11.2022,12.11.2022,
616057,Almería,4924017,F. Bonini,3013,Corona virus,04.01.2022,01.02.2022,2.0
457771,Leganes,29817676,Juan Cruz,3009,Muscle injury,05.02.2023,02.04.2023,16.0
457771,Leganes,29817676,Juan Cruz,3009,Muscle injury,30.11.2022,16.01.2023,9.0
457771,Leganes,29817676,Juan Cruz,3009,Hamstring injury,19.08.2021,30.09.2021,5.0
463728,Deportivo La Coruña,47636834,Peke,3002,Broken fibula,03.09.2023,20.11.2023,12.0
8629073,AD Ceuta FC,56009639,Marcos Fernández,2989,Broken ankle,10.07.2023,10.11.2023,10.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Shoulder injury,12.12.2025,04.01.2026,4.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Corona virus,20.12.2021,29.12.2021,1.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Corona virus,13.11.2020,27.11.2020,1.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Hand injury,19.03.2019,30.05.2019,24.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Muscle injury,27.04.2016,01.06.2016,3.0
3970699,Racing Santander,20279,Jokin Ezkieta,2978,Hand injury,21.08.2015,25.09.2015,5.0
8153364,Burgos,49660926,David González,2955,Cruciate ligament tear,26.11.2022,26.06.2023,26.0
622865,Sporting Gijón,29613045,Jonathan Dubasin,2941,Ligament injury,24.07.2023,30.08.2023,6.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,27.04.2022,20.05.2022,2.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Achilles tendon problems,21.09.2021,17.11.2021,10.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,05.09.2021,20.09.2021,2.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,24.12.2020,04.01.2021,1.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,13.07.2020,23.09.2020,4.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Knock,24.06.2020,11.07.2020,5.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,09.12.2019,01.02.2020,8.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Patellar tendon tear,18.03.2019,01.06.2019,10.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Hamstring injury,16.04.2018,10.05.2018,4.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Achilles tendon problems,16.08.2017,13.09.2017,3.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Achilles tendon problems,02.04.2017,26.04.2017,4.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Muscle injury,05.01.2017,27.01.2017,6.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Achilles tendon problems,26.10.2015,22.07.2016,30.0
464579,Eibar,7627851,Anaitz Arbilla,2885,Thigh problems,03.05.2015,07.05.2015,
464579,Eibar,7627851,Anaitz Arbilla,2885,Torn muscle fiber,30.03.2011,20.04.2011,3.0
463728,Deportivo La Coruña,20451179,G. Quagliata,2876,Hamstring injury,25.01.2023,15.02.2023,4.0
463728,Deportivo La Coruña,20451179,G. Quagliata,2876,Groin injury,21.04.2022,27.04.2022,1.0
463728,Deportivo La Coruña,20451179,G. Quagliata,2876,Muscular problems,26.08.2021,15.09.2021,1.0
463728,Deportivo La Coruña,20451179,G. Quagliata,2876,Rest,05.11.2019,07.11.2019,1.0
623716,Zaragoza,26122243,Francho Serrano,2874,Back injury,24.03.2024,24.07.2024,11.0
623716,Zaragoza,26122243,Francho Serrano,2874,Torn muscle fiber,10.03.2022,13.04.2022,5.0
623716,Zaragoza,26122243,Francho Serrano,2874,Muscle injury,07.10.2021,20.10.2021,4.0
617759,Cultural Leonesa,29237432,Rodri Suárez,2873,Cruciate ligament tear,23.08.2026,23.04.2027,
3970699,Racing Santander,70460677,Peio Canales,2864,Sore muscles,07.02.2026,10.02.2026,1.0
3970699,Racing Santander,70460677,Peio Canales,2864,Unknown,01.12.2023,15.12.2023,2.0
8153364,Burgos,29668751,Fer Niño,2861,Back injury,01.08.2018,02.01.2020,
622865,Sporting Gijón,3444749,J. Otero,2826,Muscle fiber tear,26.10.2025,23.11.2025,4.0
613504,Valladolid,7538818,Iván Alejo,2820,Muscle injury,20.02.2025,21.04.2025,8.0
613504,Valladolid,7538818,Iván Alejo,2820,Inflammation of the biceps tendon in the thigh,08.01.2025,07.02.2025,6.0
613504,Valladolid,7538818,Iván Alejo,2820,Muscular problems,17.12.2017,27.12.2017,1.0
613504,Valladolid,7538818,Iván Alejo,2820,Knee injury,10.09.2017,02.11.2017,8.0
609249,Granada CF,70871388,Oscar Naasei,2817,Muscular problems,30.07.2026,04.08.2026,
618610,Huesca,7609336,Francisco Portillo,2808,Ankle injury,26.08.2014,10.09.2014,1.0
616057,Almería,7656348,Adri Embarba,2806,Torn muscle fiber,03.10.2016,21.10.2016,3.0
616057,Almería,7656348,Adri Embarba,2806,Knock,18.01.2016,08.02.2016,2.0
616057,Almería,7656348,Adri Embarba,2806,Foot injury,10.08.2015,10.09.2015,2.0
616057,Almería,7656348,Adri Embarba,2806,Hand injury,12.01.2015,29.01.2015,2.0
464579,Eibar,7629139,Sergio Álvarez,2796,Hamstring injury,05.01.2024,31.01.2024,4.0
464579,Eibar,7629139,Sergio Álvarez,2796,Muscle injury,27.01.2020,20.02.2020,2.0
464579,Eibar,7629139,Sergio Álvarez,2796,Muscle injury,28.10.2019,02.01.2020,9.0
464579,Eibar,7629139,Sergio Álvarez,2796,Hamstring injury,13.11.2017,01.01.2018,6.0
464579,Eibar,7629139,Sergio Álvarez,2796,Shoulder injury,08.11.2015,12.01.2016,9.0
8629073,AD Ceuta FC,7528997,José Matos,2790,Cruciate ligament tear,12.08.2019,30.06.2020,26.0
8629073,AD Ceuta FC,7528997,José Matos,2790,Muscle tear,26.03.2018,26.05.2018,
8629073,AD Ceuta FC,7528997,José Matos,2790,Adductor injury,25.03.2018,20.05.2018,
609249,Granada CF,26061707,Pedro Alemañ,2724,Unknown,24.09.2023,27.11.2023,6.0
3970699,Racing Santander,52169628,G. Puerta,2678,Knock,22.09.2025,02.10.2025,1.0
3970699,Racing Santander,52169628,G. Puerta,2678,Stomach problems,07.04.2025,11.04.2025,1.0
615206,Albacete,7515956,Carlos Neva,2670,Cruciate ligament tear,20.03.2022,10.10.2022,18.0
615206,Albacete,7515956,Carlos Neva,2670,Muscle injury,26.04.2021,26.06.2021,6.0
615206,Albacete,7515956,Carlos Neva,2670,Corona virus,06.11.2020,20.11.2020,1.0
8153364,Burgos,7612073,Iñigo Córdoba,2669,Hamstring injury,28.10.2024,28.11.2024,5.0
8153364,Burgos,7612073,Iñigo Córdoba,2669,Groin injury,29.10.2023,08.11.2023,2.0
8153364,Burgos,7612073,Iñigo Córdoba,2669,Unknown,22.02.2023,14.03.2023,2.0
8153364,Burgos,7612073,Iñigo Córdoba,2669,Knee injury,20.04.2021,12.07.2021,7.0
8153364,Burgos,7612073,Iñigo Córdoba,2669,Hamstring injury,10.08.2019,28.08.2019,2.0
8157619,Real Sociedad B,47778031,Jon Balda,2666,Surgery,12.05.2026,01.06.2026,3.0
680733,Mirandes,7536242,Carlos Fernández,2661,Meniscus damage,12.01.2024,31.05.2024,25.0
680733,Mirandes,7536242,Carlos Fernández,2661,Knee injury,23.11.2023,08.12.2023,4.0
680733,Mirandes,7536242,Carlos Fernández,2661,Hamstring injury,01.04.2023,07.04.2023,1.0
680733,Mirandes,7536242,Carlos Fernández,2661,Hamstring injury,12.12.2022,13.01.2023,4.0
680733,Mirandes,7536242,Carlos Fernández,2661,Hamstring injury,13.08.2022,30.09.2022,8.0
680733,Mirandes,7536242,Carlos Fernández,2661,Cruciate ligament tear,31.07.2021,30.06.2022,51.0
680733,Mirandes,7536242,Carlos Fernández,2661,Muscle injury,26.04.2021,26.06.2021,5.0
680733,Mirandes,7536242,Carlos Fernández,2661,Corona virus,20.11.2020,03.12.2020,4.0
680733,Mirandes,7536242,Carlos Fernández,2661,Meniscus injury,09.07.2018,11.09.2018,10.0
680733,Mirandes,7536242,Carlos Fernández,2661,Muscle injury,28.04.2018,28.05.2018,9.0
680733,Mirandes,7536242,Carlos Fernández,2661,Ankle injury,22.12.2017,18.01.2018,2.0
680733,Mirandes,7536242,Carlos Fernández,2661,Torn muscle fiber,22.10.2017,22.11.2017,4.0
680733,Mirandes,7536242,Carlos Fernández,2661,Muscular problems,05.09.2017,15.09.2017,1.0
680733,Mirandes,7536242,Carlos Fernández,2661,Cruciate ligament tear,06.10.2016,06.07.2017,75.0
680733,Mirandes,26161849,Fernando Medrano,2651,Muscle injury,29.11.2024,18.12.2024,3.0
680733,Mirandes,26161849,Fernando Medrano,2651,Shoulder injury,25.08.2024,15.09.2024,3.0
