pid,mes,y,p_mercado,p_pc,cuota_o,cuota_u,p_1,p_3,p_10,p_B10
20343,2025-08,0,0.5239361702127661,0.5191815856777493,1.79,1.97,0.59974134,0.54728574,0.61714566,0.54573727
20344,2025-08,1,0.4397905759162304,0.43434343434343436,2.14,1.68,0.44613153,0.4426251,0.4699956,0.45699367
20345,2025-08,0,0.5106382978723405,0.526854219948849,1.84,1.92,0.54199183,0.5835295,0.48547345,0.4730324
20346,2025-08,1,0.4146981627296588,0.3686746987951807,2.23,1.58,0.40020585,0.42747813,0.36963618,0.3629625
20347,2025-08,1,0.6986607142857143,0.676605504587156,1.35,3.13,0.66477644,0.60300845,0.5973986,0.66215426
20348,2025-08,1,0.4932614555256065,0.4253164556962025,1.88,1.83,0.6126434,0.54463136,0.4292608,0.45879346
20349,2025-08,1,0.46648793565683644,0.4242424242424242,1.99,1.74,0.5093304,0.40308055,0.45537966,0.43582907
20350,2025-08,1,0.362962962962963,0.3819951338199513,2.58,1.47,0.3817739,0.4765486,0.51483476,0.36483496
20351,2025-08,1,0.6177215189873417,0.65962441314554,1.51,2.44,0.6012837,0.55240285,0.5875815,0.630236
20352,2025-08,0,0.582901554404145,0.5818639798488666,1.61,2.25,0.57948625,0.62320846,0.56929016,0.6048566
20353,2025-08,0,0.5488126649076518,0.5115089514066496,1.71,2.08,0.62458384,0.58782077,0.5893895,0.54498726
20354,2025-08,1,0.5,0.43147208121827413,1.88,1.88,0.59853953,0.58654296,0.5353551,0.5306339
20355,2025-08,1,0.5654450261780105,0.5115089514066496,1.66,2.16,0.6380786,0.52537316,0.52039224,0.5443021
20356,2025-08,1,0.582901554404145,0.5910224438902744,1.61,2.25,0.4000985,0.4693675,0.5291145,0.5644796
20357,2025-08,0,0.5631578947368422,0.5645569620253165,1.66,2.14,0.62041223,0.5968339,0.6001047,0.59281886
20358,2025-08,0,0.33812949640287776,0.37956204379562053,2.76,1.41,0.41843933,0.38560003,0.3942542,0.3164158
20359,2025-08,0,0.47340425531914887,0.4731457800511509,1.98,1.78,0.59032065,0.6274873,0.6167842,0.4873752
20360,2025-08,1,0.5844155844155844,0.6437054631828979,1.6,2.25,0.52030754,0.5505105,0.6679391,0.64436567
20361,2025-08,0,0.37279596977329976,0.3482352941176471,2.49,1.48,0.37507614,0.41789547,0.4289053,0.38122338
20362,2025-08,1,0.5585106382978724,0.595,1.66,2.1,0.52251565,0.5244166,0.5693649,0.58068305
20363,2025-08,0,0.3948717948717949,0.3882063882063882,2.36,1.54,0.5271285,0.49021083,0.5188705,0.38674358
20364,2025-08,1,0.4523809523809524,0.41959798994974873,2.07,1.71,0.5198756,0.43731874,0.40327653,0.39631778
20365,2025-08,0,0.42368421052631583,0.4231738035264484,2.19,1.61,0.4812201,0.47594872,0.4909545,0.45551187
20366,2025-08,1,0.4880000000000001,0.46410256410256406,1.92,1.83,0.54075336,0.53421545,0.4999875,0.4976437
20367,2025-08,0,0.5225464190981433,0.5561224489795918,1.8,1.97,0.57815063,0.592455,0.56873757,0.5449579
20368,2025-08,0,0.6487804878048781,0.6361445783132531,1.44,2.66,0.6825365,0.7009475,0.60279906,0.6338459
20369,2025-08,0,0.5039999999999999,0.5115089514066496,1.86,1.89,0.6466396,0.5752448,0.5730332,0.51469713
20370,2025-08,0,0.49333333333333335,0.4629156010230179,1.9,1.85,0.61901665,0.52089834,0.5308558,0.52033955
20371,2025-08,0,0.43307086614173224,0.5063938618925831,2.16,1.65,0.42329508,0.4957924,0.4242149,0.39618504
20372,2025-08,1,0.5,0.45012787723785164,1.87,1.87,0.6483662,0.56485033,0.50912327,0.45390397
20373,2025-08,0,0.4986522911051214,0.47814910025706947,1.86,1.85,0.4491435,0.3901017,0.3910201,0.48220405
20374,2025-08,1,0.4368421052631579,0.49487179487179483,2.14,1.66,0.4086701,0.48013735,0.52281827,0.41087532
20375,2025-08,0,0.5766233766233767,0.5561224489795918,1.63,2.22,0.6107674,0.6182844,0.5777977,0.5808277
20376,2025-08,0,0.40992167101827676,0.3426573426573427,2.26,1.57,0.4559335,0.37466297,0.3454882,0.3481366
20377,2025-08,0,0.48247978436657685,0.43147208121827413,1.92,1.79,0.5250197,0.46214145,0.45514035,0.48836112
20378,2025-08,0,0.45382585751978893,0.4416243654822335,2.07,1.72,0.49853235,0.45625883,0.45045152,0.41743836
20379,2025-08,1,0.5442359249329759,0.5793450881612091,1.7,2.03,0.6091297,0.62346303,0.5768828,0.57108086
20380,2025-08,1,0.4851752021563342,0.4601542416452442,1.91,1.8,0.6543633,0.5976489,0.60401267,0.54007995
20381,2025-08,0,0.4497354497354497,0.42211055276381915,2.08,1.7,0.51339597,0.571055,0.669182,0.544247
20382,2025-08,0,0.6320987654320989,0.65,1.49,2.56,0.6708087,0.61590254,0.71809494,0.6997488
20383,2025-08,0,0.42077922077922075,0.4114713216957606,2.23,1.62,0.44742066,0.40484208,0.4642728,0.39805654
20384,2025-08,0,0.37279596977329976,0.3695652173913044,2.49,1.48,0.45170063,0.41859284,0.37849396,0.35213384
20385,2025-08,0,0.5546666666666668,0.5732323232323232,1.67,2.08,0.45602256,0.48058158,0.49289107,0.5384401
20386,2025-08,1,0.7592233009708738,0.7161290322580645,1.24,3.91,0.6835664,0.7188389,0.73219043,0.7604855
20387,2025-08,0,0.7524950099800399,,1.24,3.77,0.68103075,0.7647971,0.6948536,0.7555987
20388,2025-08,1,0.5485564304461943,0.5586734693877551,1.72,2.09,0.513856,0.45914912,0.50238866,0.5653535
20389,2025-08,1,0.3826530612244898,0.3832923832923833,2.42,1.5,0.42676553,0.38917845,0.45824108,0.3874891
20390,2025-08,1,0.582901554404145,0.5572519083969466,1.61,2.25,0.62964666,0.5790215,0.5727974,0.5696024
20391,2025-08,1,0.49734042553191493,0.49104859335038353,1.89,1.87,0.5539993,0.48800963,0.49106735,0.486798
20392,2025-08,0,0.4447368421052632,0.42929292929292934,2.11,1.69,0.44034752,0.4690805,0.42734894,0.42863917
20393,2025-08,1,0.642156862745098,0.6151960784313726,1.46,2.62,0.56053025,0.5464811,0.57713026,0.60805273
20394,2025-08,1,0.5654450261780105,0.581453634085213,1.66,2.16,0.6900012,0.57249546,0.5595261,0.5877053
20395,2025-08,1,0.5358090185676393,0.5242966751918159,1.75,2.02,0.46272817,0.46497375,0.568473,0.47897744
20396,2025-08,0,0.39641943734015345,0.4029850746268657,2.36,1.55,0.58061236,0.43089968,0.4610017,0.405939
20397,2025-08,0,0.4880000000000001,0.4871794871794872,1.92,1.83,0.41054392,0.45548803,0.4887375,0.4385522
20398,2025-08,1,0.6025641025641025,0.633734939759036,1.55,2.35,0.54399693,0.5670527,0.52847207,0.62171185
20399,2025-08,1,0.5578947368421052,0.5347043701799487,1.68,2.12,0.48108968,0.45646715,0.4431251,0.5232916
20400,2025-08,0,0.39845758354755784,0.4034653465346535,2.34,1.55,0.44072303,0.59273416,0.55908203,0.4490201
20401,2025-08,0,0.5319148936170213,0.5347043701799487,1.76,2.0,0.5681201,0.57495177,0.57747805,0.5249113
20402,2025-08,1,0.4596774193548387,0.43511450381679384,2.01,1.71,0.4921351,0.4181694,0.4211355,0.45586696
20403,2025-08,1,0.6212121212121211,0.6246973365617434,1.5,2.46,0.6631012,0.6379719,0.5667757,0.6192759
20404,2025-08,0,0.4109947643979057,0.4160401002506265,2.25,1.57,0.20740323,0.54167956,0.49649128,0.42156047
20405,2025-08,1,0.5695538057742783,0.5945273631840796,1.64,2.17,0.7210108,0.7340897,0.6119142,0.53622013
20406,2025-08,1,0.6055979643765903,0.5854271356783919,1.55,2.38,0.6449409,0.6227035,0.6369521,0.5912231
20407,2025-08,0,0.4145077720207254,0.39655172413793105,2.26,1.6,0.5768892,0.59038246,0.5607588,0.4190205
20408,2025-08,0,0.5305039787798408,0.49104859335038353,1.77,2.0,0.4668374,0.4981386,0.5298351,0.53497094
20409,2025-08,0,0.544973544973545,0.5358974358974359,1.72,2.06,0.39396253,0.42076883,0.4301638,0.52771693
20410,2025-08,1,0.5437665782493368,0.5025641025641026,1.72,2.05,0.70687556,0.57438684,0.59569657,0.56736785
