elegir: 1282 partidos | comprobar: 1245
% Poisson | Brier (elegir) | vs casa (comprobar)  apostando (comprobar)
       0% |         0.5002 |              -1.21s        -1.43% (823 ap.)
      10% |         0.4980 |              -1.13s        -1.56% (786 ap.)
      20% |         0.4961 |              -1.09s        -4.84% (749 ap.)
      30% |         0.4946 |              -1.11s        -6.37% (728 ap.)
      40% |         0.4934 |              -1.21s        -6.95% (696 ap.)
      50% |         0.4926 |              -1.40s       -10.21% (673 ap.)
      60% |         0.4921 |              -1.69s       -10.31% (656 ap.)
      70% |         0.4920 |              -2.07s        -8.97% (647 ap.)
      80% |         0.4923 |              -2.51s       -10.80% (650 ap.)
      90% |         0.4929 |              -2.99s       -12.24% (639 ap.)
     100% |         0.4939 |              -3.46s       -14.47% (651 ap.)

Peso elegido con la primera mitad: 70% Poisson-xG / 30% XGBoost
