config,nucleo,n_extras,n_rasgos,brier_sel,vs_clasica_elo_sel
base_cf+elo+tabla+cp_ataque+h2h_reciente,base_cf,4,84,0.47546516596651817,0.7611781509795477
base_cf+tabla+cp_ataque+cp_minutos+h2h_reciente,base_cf,4,87,0.4759390762997196,0.7157747625707004
base_cf+elo+tabla+cp_minutos+h2h_reciente,base_cf,4,84,0.47599286992843437,0.6473257961474519
base_cf+elo+tabla+cp_ataque+cp_minutos+h2h_reciente,base_cf,5,90,0.4760544725391892,0.7095997093605567
base_cf+tabla+cp_ataque+h2h_reciente,base_cf,3,81,0.4760776580988868,0.6900573486585875
base_cf+elo+tabla+h2h_reciente,base_cf,3,78,0.4762368040176433,0.6153544753632366
base_cf+elo+cp_ataque+h2h_reciente,base_cf,3,75,0.4765204738187645,0.6384857338079521
base_cf+elo+cp_ataque+cp_minutos+h2h_reciente,base_cf,4,81,0.4767151391445509,0.6045337211989972
base_cf+elo+tabla+cp_ataque,base_cf,3,79,0.4767912992253362,0.6077394043434792
base_cf+cp_ataque+cp_minutos+h2h_reciente,base_cf,3,78,0.4768751153627439,0.5860069013600522
base_cf+elo+tabla+cp_ataque+cp_minutos,base_cf,4,85,0.4770180691817989,0.5784976339936503
base_cf+tabla+cp_minutos+h2h_reciente,base_cf,3,81,0.47705005771126197,0.5221984310843951
base_cf+elo+tabla+cp_ataque+cp_defensa+h2h_reciente,base_cf,5,93,0.47739339274045023,0.5871101430278896
base_cf+tabla+h2h_reciente,base_cf,2,75,0.47743700387352794,0.47036848162576333
base_cf+tabla+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,base_cf,5,96,0.4778799915404916,0.5229527357368704
base_cf+elo+tabla+cp_minutos,base_cf,3,79,0.4781415223315987,0.4004396875690476
base_cf+tabla+cp_ataque+cp_defensa+h2h_reciente,base_cf,4,90,0.4781525124578879,0.4764445706260978
base_cf+elo+cp_minutos+h2h_reciente,base_cf,3,75,0.4782040379935016,0.38507393351487024
base_cf+tabla+cp_ataque,base_cf,2,76,0.4782519283630556,0.4134681116463838
base_cf+elo+cp_ataque+cp_minutos,base_cf,3,76,0.4784134812801576,0.3933300010155621
base_cf+elo+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,base_cf,5,90,0.47842010447297106,0.44397765634145137
base_clasica+elo+tabla+cp_ataque+cp_defensa+h2h_reciente,base_clasica,5,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,base_clasica,6,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+h2h_reciente,base_clasica,3,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_minutos+h2h_reciente,base_clasica,4,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_ataque+h2h_reciente,base_clasica,4,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_defensa+h2h_reciente,base_clasica,4,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_defensa+cp_minutos+h2h_reciente,base_clasica,5,122,0.47844752122049594,1.363402982696434
base_clasica+elo+tabla+cp_ataque+cp_minutos+h2h_reciente,base_clasica,5,122,0.47844752122049594,1.363402982696434
base_cf+tabla+cp_ataque+cp_minutos,base_cf,3,82,0.47850536085205475,0.37713463816108334
