config,brier_sel
tabla+cp_ataque+cp_minutos+h2h_reciente,0.47946578398745926
tabla+cp_ataque+cp_minutos,0.4803561667927197
tabla+cp_ataque+h2h_reciente,0.48092758678038133
elo+tabla+cp_ataque+cp_minutos+h2h_reciente,0.4810615276611879
tabla+cp_ataque,0.4815087301742012
elo+tabla+cp_ataque+cp_minutos,0.4819663085747566
elo+cp_ataque+cp_minutos,0.48266920569600624
cp_ataque,0.48296281187625656
elo+cp_ataque+cp_minutos+h2h_reciente,0.4834768323975195
tabla+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,0.4834893619472729
cp_ataque+cp_minutos,0.4835939634677968
elo+tabla+cp_ataque+h2h_reciente,0.4838742465223505
elo+cp_ataque,0.48428597167933346
elo+tabla+cp_ataque,0.4848173430079224
cp_ataque+cp_minutos+h2h_reciente,0.48502036272955246
elo+tabla+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,0.4850270691690504
tabla+h2h_reciente,0.48579468434537987
tabla+cp_minutos+h2h_reciente,0.4866924804235401
elo+tabla+cp_ataque+cp_defensa+cp_minutos,0.48675680571970914
elo+cp_ataque+h2h_reciente,0.48688012055019575
tabla+cp_ataque+cp_defensa+h2h_reciente,0.4876658994545366
tabla+cp_ataque+cp_defensa+cp_minutos,0.4880313063399758
cp_ataque+h2h_reciente,0.4882123880154533
elo+cp_ataque+cp_defensa+cp_minutos+h2h_reciente,0.48832334929115756
tabla,0.4883636193655764
elo+tabla+cp_ataque+cp_defensa+h2h_reciente,0.4884675667413028
elo+tabla+h2h_reciente,0.4891440411275326
elo+tabla+cp_minutos+h2h_reciente,0.48941278198037985
tabla+cp_minutos,0.48959868443457516
tabla+cp_defensa+cp_minutos+h2h_reciente,0.49022528660265197
tabla+cp_ataque+cp_defensa,0.4905211345678456
elo+cp_ataque+cp_defensa+cp_minutos,0.4907517017700016
cp_ataque+cp_defensa+cp_minutos+h2h_reciente,0.4913699392096768
elo+tabla,0.49158492939863724
elo+tabla+cp_defensa+cp_minutos+h2h_reciente,0.49159336788539626
elo+cp_minutos+h2h_reciente,0.4919165069009685
elo+tabla+cp_ataque+cp_defensa,0.49192810698007144
elo+tabla+cp_minutos,0.4923770875123785
cp_ataque+cp_defensa+cp_minutos,0.4927224051953587
elo,0.4927980072880868
elo+cp_ataque+cp_defensa+h2h_reciente,0.49280785349697775
elo+h2h_reciente,0.4928358936933492
tabla+cp_defensa+h2h_reciente,0.49421989601967037
elo+tabla+cp_defensa+h2h_reciente,0.49447805360748287
elo+cp_minutos,0.49479244306824455
cp_ataque+cp_defensa+h2h_reciente,0.4947930458825413
h2h_reciente,0.49497327755081916
tabla+cp_defensa+cp_minutos,0.49565871218429614
elo+tabla+cp_defensa+cp_minutos,0.49653223752959325
elo+cp_ataque+cp_defensa,0.4966406701003943
elo+cp_defensa+cp_minutos+h2h_reciente,0.49690274933498724
cp_minutos+h2h_reciente,0.49753342272293727
cp_ataque+cp_defensa,0.4979573644837097
tabla+cp_defensa,0.4985198419396227
elo+tabla+cp_defensa,0.49982360504284906
elo+cp_defensa+h2h_reciente,0.5001002280367095
elo+cp_defensa+cp_minutos,0.500532111916492
cp_minutos,0.5028289331588519
cp_defensa+cp_minutos+h2h_reciente,0.5038574698144415
elo+cp_defensa,0.5045805389114066
cp_defensa+h2h_reciente,0.506854408209845
cp_defensa+cp_minutos,0.5088190976243205
cp_defensa,0.5154400604098439
