y,pm,liga,28,28 + impacto xG,28 + impacto goles,28 + impacto xG y goles,28 + lesiones
1,0.4397905759162304,La Liga,0.5734905,0.5724457,0.5195059,0.51745003,0.65917605
0,0.5239361702127661,Ligue 1,0.67528933,0.6562552,0.66777325,0.66055036,0.67714626
1,0.6986607142857143,Premier League,0.6854339,0.6992308,0.68995774,0.68683606,0.68307984
1,0.4146981627296588,Segunda,0.53027225,0.53275794,0.51825315,0.522869,0.51135314
1,0.4932614555256065,Segunda,0.48224348,0.47519913,0.4828163,0.48823348,0.47665587
0,0.5106382978723405,La Liga,0.49015298,0.5030918,0.48886275,0.49240264,0.59211147
0,0.582901554404145,Premier League,0.5953437,0.6232198,0.60690475,0.6159228,0.5990188
0,0.5488126649076518,Premier League,0.58293825,0.5924374,0.5909525,0.59992427,0.57643497
1,0.5,Premier League,0.48943806,0.509977,0.49251062,0.5028581,0.50023025
1,0.5654450261780105,Premier League,0.56455994,0.58080494,0.55782425,0.5663594,0.5610517
1,0.5585106382978724,Segunda,0.57594943,0.60040003,0.5920577,0.60188115,0.5746937
0,0.5631578947368422,Ligue 1,0.5981867,0.60162127,0.57681566,0.5632075,0.5966754
1,0.582901554404145,Premier League,0.52870256,0.53138137,0.5477789,0.54972,0.52533513
1,0.6177215189873417,Ligue 1,0.5496936,0.55581176,0.513395,0.53303844,0.5463309
0,0.37279596977329976,Segunda,0.46635848,0.4638958,0.42129317,0.42920533,0.4579668
1,0.5844155844155844,La Liga,0.70020545,0.6905948,0.62678254,0.6342193,0.69491833
0,0.47340425531914887,Ligue 1,0.49648094,0.50350636,0.5014231,0.4946476,0.49975878
1,0.362962962962963,La Liga,0.41746125,0.41449824,0.39109015,0.39450473,0.40623665
0,0.33812949640287776,La Liga,0.4802104,0.4672288,0.47267556,0.46246314,0.47416115
1,0.46648793565683644,Segunda,0.55810344,0.55663073,0.56347996,0.55740947,0.5413757
0,0.5766233766233767,Premier League,0.6046754,0.59740114,0.6168402,0.60489863,0.6054891
1,0.4880000000000001,Premier League,0.5381878,0.54384625,0.54367095,0.54691017,0.5469362
1,0.5,Ligue 1,0.5420622,0.54405653,0.52058107,0.5267952,0.5316475
0,0.42368421052631583,Segunda,0.46350974,0.47732258,0.47878098,0.4886767,0.45754996
0,0.3948717948717949,La Liga,0.443546,0.43408823,0.49571905,0.47732362,0.44860205
0,0.5039999999999999,Ligue 1,0.6199852,0.61038285,0.6188502,0.6296903,0.622091
0,0.43307086614173224,Ligue 1,0.5377302,0.5318158,0.51989985,0.5148984,0.53282416
0,0.49333333333333335,Ligue 1,0.4890398,0.49294457,0.5160388,0.51161426,0.48202032
0,0.5225464190981433,Premier League,0.5066536,0.5032133,0.50204414,0.49065223,0.5029892
1,0.4523809523809524,La Liga,0.4956107,0.4904987,0.4925089,0.5028815,0.47513494
0,0.48247978436657685,Segunda,0.4116901,0.40012717,0.4228497,0.41136503,0.4038952
0,0.6487804878048781,Ligue 1,0.62518275,0.6313535,0.5847866,0.576959,0.6251691
1,0.4368421052631579,La Liga,0.49689135,0.47546902,0.43587273,0.43497914,0.48761266
